Neo Reference ID,Absolute Magnitude,Est Dia in KM(min),Close Approach Date,Relative Velocity km per sec,Miss Dist.(kilometers),Orbit ID,Orbit Determination Date,Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Inclination,Asc Node Longitude,Perihelion Distance,Perihelion Arg,Mean Anomaly,Orbiting Body_Earth,Equinox_J2000,Hazardous
3723955,21.3,0.1460679643,788918400,18.1139850263,57298148.0,21,1491467569,3,0.186935,5.457,2458000.5,0.3516743045868617,28.41299637199041,136.7172416568082,0.7181996160227876,313.0919748302692,173.7411119891742,1.0,1.0,0
3092506,27.4,0.0088014652,790128000,11.1738744976,42683616.0,7,1491470149,6,0.0055118,5.093,2458000.5,0.2165783078378784,7.905894348125122,57.17326613388248,0.9839015669723666,18.70770087172089,68.74100661777578,1.0,1.0,0
3671135,19.6,0.3195618867,790128000,10.8088439585,58759768.0,40,1496557012,1,0.272213,4.724,2458000.5,0.5634410734978924,17.92775064011703,178.9719507770034,0.5777997876790363,198.1459691510273,354.2373683433312,1.0,1.0,0
2495323,19.6,0.3195618867,790128000,10.8088415879,58759532.0,43,1498630765,1,0.272213,4.724,2458000.5,0.5634411100746358,17.92774837902645,178.9719525667907,0.5777997314074783,198.1459598526758,354.237396160877,1.0,1.0,0
2153315,19.2,0.3841978911,790732800,24.4218839949,19324928.0,22,1491470825,0,0.0987582,4.921,2458000.5,0.4497627959965093,34.69512745281478,112.5629844130883,0.6809045288785588,288.3746511156045,186.7769322776995,1.0,1.0,0
2162463,17.8,0.7320739893,790732800,17.373783837,53598364.0,100,1494829101,0,0.109354,5.386,2458000.5,0.2381790104348694,22.21521029077527,80.21113209162255,0.8727046815850249,353.4223941040977,182.2364315309588,1.0,1.0,0
3444370,22.4,0.0880146521,790732800,22.4213663146,30075154.0,12,1491469298,6,0.000317965,7.033,2458000.5,0.4758194774081156,23.18568668072357,117.1112240445536,0.4266183269852852,220.9403707579688,5.556806412851552,1.0,1.0,0
3448992,25.8,0.0183888672,790732800,17.2746114639,64479012.0,23,1491469270,4,0.00186378,5.122,2458000.5,0.2048406780030454,13.7442332087249,161.933518574421,0.9866251925196996,13.92021256207252,46.68495944704712,1.0,1.0,0
3611400,25.0,0.02658,790732800,12.1185099534,53825524.0,5,1491468510,6,0.0187898,6.384,2458000.5,0.326860711970322,8.333753551706272,20.49127086505545,0.626176880439848,128.46312989278,66.77697673554127,1.0,1.0,0
2162854,19.1,0.4023045798,792201600,10.8299262895,64425220.0,42,1491470784,0,0.214004,4.862,2458000.5,0.1493579627014401,21.26523155355708,122.4368331936925,1.125334586264921,297.7298536948962,15.23187454710148,1.0,1.0,0
3446396,18.8,0.4619074603,792201600,39.6053279147,45023444.0,26,1491469281,0,0.102643,3.242,2458000.5,0.8610933305709985,10.02263604097735,163.2099234123562,0.2754156130918373,199.3714586963143,37.51725738061909,1.0,1.0,0
3764806,25.2,0.0242412481,792201600,25.2112885836,74196656.0,4,1491466916,6,0.0119773,6.89,2458000.5,0.4416943551013883,19.76759210755226,243.614950945384,0.4676128055622026,41.6483224835708,96.60735473164922,1.0,1.0,0
3314405,20.0,0.2658,792806400,3.0890039286,35727636.0,27,1495088370,0,0.240288,3.788,2458000.5,0.3775493600967308,5.660561156228656,112.1644170272148,1.218854371855342,34.30691815167334,82.35082442826075,1.0,1.0,0
3426410,21.0,0.1677084622,792806400,20.0192419349,71520800.0,16,1491469382,1,0.0984179,6.469,2458000.5,0.4527922930841961,8.278695740027688,114.3798292883882,0.4967905021181501,7.392326563703367,36.16756328615697,1.0,1.0,0
3666785,22.3,0.0921626549,792806400,8.5263208443,69003400.0,29,1491468110,3,0.0259126,5.372,2458000.5,0.2597323195329087,5.035044225594919,28.8520216092119,0.8635369922219897,271.6146744029957,179.6031185576674,1.0,1.0,0
3702321,22.7,0.0766575574,792806400,7.9195240447,16047525.0,13,1491467810,4,0.0525422,6.519,2458000.5,0.1514158524079464,5.860414922890069,177.8573023304907,0.7753770616300362,90.64125634459155,203.9869515937405,1.0,1.0,0
3719196,26.1,0.0160160338,792806400,4.6554785934,38220508.0,8,1491467627,5,0.018587,6.36,2458000.5,0.1714328826365063,11.94779476707688,229.0663217594457,0.7781396599409749,227.5499749797063,314.5094251287649,1.0,1.0,0
3447920,20.6,0.2016299194,792806400,2.1643728488,63257484.0,42,1491469278,2,0.183818,3.753,2458000.5,0.4074703521368719,4.06169556322702,142.2597510835389,1.172302907970777,38.66044217724877,15.11056876015708,1.0,1.0,0
3660308,23.9,0.04411182,793411200,10.551519772,2952796.75,32,1501175165,3,0.0109543,4.767,2458000.5,0.3988200079942557,3.854342068985657,341.218636234598,0.8163539004249429,237.1733163416558,54.31490079465933,1.0,1.0,0
3348144,23.9,0.04411182,793411200,17.5649076525,64932800.0,10,1491469676,1,0.0453154,6.298,2458000.5,0.3973810059711997,11.6076647207195,195.3700872141465,0.5666582119956471,315.2418743196193,255.1877435084699,1.0,1.0,0
3780693,26.989,0.0106354281,793411200,7.1641480595,31654442.0,2,1503209891,7,0.0071428,5.874,2458000.5,0.3179061258474021,4.008314775490596,322.7144944711469,0.705535845388161,249.0178764867158,92.63701924370052,1.0,1.0,0
3092312,22.6,0.0802703167,794620800,11.4702980441,7744736.5,14,1492690925,0,0.0341962,5.089,2458000.5,0.4282526106821032,5.850410278034516,151.2892418885367,0.7060724025476296,292.6184516502227,178.6926558391438,1.0,1.0,0
3273782,23.8,0.046190746,794620800,11.9306425303,14592393.0,34,1489040246,0,0.052677,7.48,2455882.5,0.3864587856542614,20.83376792025673,352.9223651783215,0.4681162605167759,351.1788107856062,203.652258647551,1.0,1.0,0
3600106,28.6,0.0050647146,794620800,9.8741431619,21946004.0,8,1491468642,6,0.00220111,5.349,2458000.5,0.2299595839786057,1.990548431564578,336.8735046974825,0.905713006375406,120.0623447551711,157.6102089911095,1.0,1.0,0
3684008,21.2,0.1529519353,794620800,15.938707162,25865906.0,6,1491467947,6,0.0667857,4.469,2458000.5,0.4373989530511649,24.56842188077443,151.7319137192872,0.8115041357986146,97.07781956847644,317.5623087461238,1.0,1.0,0
3751815,22.8,0.0732073989,794620800,11.7404134833,49843512.0,7,1491467194,6,0.0452308,6.708,2458000.5,0.513906570440738,6.812692898480357,64.12627502627186,0.4206435570219426,292.8831880645742,140.1980046848551,1.0,1.0,0
2483656,23.8,0.046190746,794620800,11.9306119236,14592338.0,41,1500556436,0,0.0515902,7.48,2456125.5,0.3864450668773289,20.83340836762825,352.9209234711133,0.468113884379167,351.1779799498096,203.0327732060237,1.0,1.0,0
3182169,23.6,0.0506471459,795225600,3.8380167643,12937927.0,21,1491469969,0,0.0231683,5.694,2458000.5,0.1755281002971447,1.499707987243189,143.9720934468935,0.8945964663125213,2.124647144481263,343.2780837648182,1.0,1.0,0
2382875,21.7,0.1214940408,795830400,7.5148753568,74676320.0,39,1491470532,0,0.072723,4.988,2458000.5,0.1806949354384842,2.883848267500705,42.7745945849694,1.064042018598494,283.6789058830172,282.4479213473536,1.0,1.0,0
2396793,20.1,0.2538370294,795830400,14.3828211868,62975644.0,27,1491470515,0,0.286119,5.55,2458000.5,0.6085291129034922,19.76609421451883,228.3483095782694,0.4179850401456034,179.9055930928364,203.2544790124766,1.0,1.0,0
3647009,27.4,0.0088014652,795830400,7.3391408326,10631156.0,7,1491468299,7,0.00184403,5.435,2458000.5,0.2216354711934581,7.430785914533306,330.7831998198386,0.894825363440914,290.4836428426266,144.1965902347316,1.0,1.0,0
